Player,Tm,Pos,Salary,WS_actual,VORP,PER,BPM,ValueIndex,$/WS_calc,PPG,RPG,APG,DWS,DBPM
marcus pendleton,Stonecutters,SF,1750000,-0.1,-0.2,8.8,-6.5,-0.17142857142857146,-17500000.0,1.7,0.3,0.8,0.0,-4.7
jaleel porter,Stars,SG,2750000,0.2,-0.7,15.0,-3.7,-0.1818181818181818,13750000.0,11.5,1.8,2.2,0.6,-0.9
kam wolters,Colonels,C/PF,1750000,0.2,-0.6,8.8,-6.9,-0.22857142857142856,8750000.0,1.8,2.4,0.2,0.4,-1.7
raúl lozano,Drones,SF,2550000,-0.1,-0.5,13.9,-2.6,-0.23529411764705882,-25500000.0,19.3,4.2,3.1,1.8,1.5
sulaiman seiwert,Stonecutters,SF/PF,1750000,-0.2,-0.3,5.2,-6.2,-0.2857142857142857,-8750000.0,1.3,0.6,0.2,0.1,-2.7
lamar claxton jr,Skyhawks,SG,5650000,-3.9,-1.6,15.1,-4.3,-0.9734513274336283,-1448717.9487179487,25.5,4.1,3.6,2.3,1.8
tyrae lewis,Saints,SG,6250000,-5.7,-1.9,16.1,-5.0,-1.216,-1096491.2280701755,24.8,3.0,4.9,0.3,2.1
marcel richter,Giants,C,0,8.7,3.6,22.1,3.1,,0.0,23.9,12.3,3.4,4.8,4.6
labradford reath,Lumberjacks,PF,0,6.2,2.3,21.4,1.9,,0.0,20.8,7.6,1.8,3.9,3.4
stephon carlton,Cyclones,C/PF,0,10.7,4.6,21.9,4.6,,0.0,19.6,9.4,4.4,3.8,4.8
reid frahm,Free Agent,PG,0,12.0,4.8,19.1,5.2,,0.0,12.8,3.8,10.2,2.9,-2.0
raheem barkley,Free Agent,PF,0,2.4,0.7,13.7,1.6,,0.0,4.3,3.6,1.3,1.0,0.6
payton oyediran,Pilots,SF,0,4.5,2.9,15.1,2.8,,0.0,15.3,4.5,3.9,2.5,1.2
dominic vukcevic,Blizzards,PF,0,1.6,0.7,17.0,1.8,,0.0,5.2,3.3,0.9,1.0,3.0
kenan aleksic,Mustangs,SF/SG,0,2.9,2.6,15.5,2.7,,0.0,15.5,3.8,2.6,3.2,2.9
xavier lowe,Bullets,SG,0,3.8,1.7,19.4,2.2,,0.0,16.4,4.1,2.2,1.9,1.1
jamarcus payne,Lightning,C,0,7.3,1.3,16.3,0.1,,0.0,11.1,11.3,1.0,3.8,1.8
keyon mccoy,Renegades,PG,0,5.7,2.5,19.7,1.6,,0.0,26.2,3.8,4.7,3.4,1.2
kelvin grady,Free Agent,PF,0,4.4,1.3,12.6,0.6,,0.0,6.5,5.8,1.6,1.6,1.1
domonkos biro,Giants,SF,0,4.8,2.8,13.4,2.5,,0.0,11.8,3.2,4.5,3.4,0.9
drake walter,Jailbirds,SF,0,5.4,3.7,15.5,4.6,,0.0,9.5,4.6,4.4,2.6,2.8
leon hawthorne,Lightning,SF/SG,0,4.3,1.9,16.5,0.9,,0.0,17.9,4.0,4.7,2.2,0.6
tyrone george,Pilots,C,0,8.6,3.2,18.9,3.3,,0.0,15.4,10.9,1.7,4.1,3.6
demetrice davis,Warriors,SG,0,0.3,0.1,14.5,-1.2,,0.0,3.0,1.0,0.9,0.2,-1.3
evan lieberman,Knights,PF,0,6.4,3.2,17.1,4.5,,0.0,11.6,5.7,3.5,1.9,2.0
jimmie hollimon,Vipers,SF,0,8.2,4.4,21.4,5.7,,0.0,18.4,6.2,4.1,3.0,2.4
jack tyson,Vultures,SG/SF,0,4.0,2.1,16.4,2.7,,0.0,10.7,3.4,3.6,1.5,1.0
ish hampton,Warriors,PG,0,3.8,1.1,15.9,0.8,,0.0,11.6,2.1,6.1,1.0,-1.9
tyree bruner,Free Agent,SF,0,0.1,0.2,14.1,-1.3,,0.0,10.6,2.7,2.3,0.7,0.3
lonzo waterman,Free Agent,SF/SG,0,0.8,0.4,18.9,2.7,,0.0,5.8,1.7,1.1,0.4,0.3
